# Lower Bound	Count	Width
4.8	1.3874e+06	0.672
5.472	487313	0.672
6.144	868	0.672
6.816	0	0.672
7.488	201191	0.672
8.16	0	0.672
8.832	0	0.672
9.504	618	0.672
10.176	0	0.672
10.848	68389	0.672001
11.52	0	0.672
12.192	0	0.672
12.864	0	0.672
13.536	506	0.672
14.208	0	0.672
14.88	0	0.672
15.552	17410	0.672001
16.224	0	0.671999
16.896	0	0.672001
17.568	0	0.671999
18.24	0	0.672001
18.912	209	0.671999
19.584	0	0.672001
20.256	0	0.672001
20.928	0	0.671999
21.6	0	0.672001
22.272	3898	0.671999
22.944	0	0.672001
23.616	0	0.671999
24.288	0	0.672001
24.96	0	0.671999
25.632	0	0.672001
26.304	0	0.672001
26.976	91	0.671999
27.648	0	0.672001
28.32	0	0.671999
28.992	0	0.672001
29.664	0	0.671999
30.336	0	0.672001
31.008	0	0.671999
31.68	278	0.672001
32.352	0	0.672001
33.024	0	0.672001
33.696	0	0.671997
34.368	0	0.672001
35.04	0	0.672001
35.712	0	0.672001
36.384	0	0.671997
37.056	0	0.672001
37.728	0	0.672001

