# Lower Bound	Count	Width
4.8	116019	0.360655
5.16066	0	0.360656
5.52131	34415	0.360655
5.88197	0	0.360656
6.24262	0	0.360655
6.60328	47	0.360656
6.96393	0	0.360655
7.32459	0	0.360655
7.68524	0	0.360656
8.0459	14128	0.360656
8.40656	0	0.360655
8.76721	0	0.360656
9.12787	0	0.360656
9.48852	40	0.360655
9.84918	0	0.360656
10.2098	0	0.360656
10.5705	0	0.360656
10.9311	0	0.360655
11.2918	4994	0.360656
11.6525	0	0.360656
12.0131	0	0.360655
12.3738	0	0.360656
12.7344	0	0.360656
13.0951	0	0.360656
13.4557	12	0.360655
13.8164	0	0.360656
14.177	0	0.360656
14.5377	0	0.360655
14.8984	0	0.360656
15.259	0	0.360656
15.6197	0	0.360656
15.9803	1235	0.360656
16.341	0	0.360655
16.7016	0	0.360655
17.0623	0	0.360657
17.4229	0	0.360655
17.7836	0	0.360655
18.1443	0	0.360657
18.5049	0	0.360655
18.8656	8	0.360655
19.2262	0	0.360657
19.5869	0	0.360655
19.9475	0	0.360657
20.3082	0	0.360655
20.6688	0	0.360655
21.0295	0	0.360657
21.3902	0	0.360655
21.7508	0	0.360655
22.1115	0	0.360657
22.4721	0	0.360655

