# Lower Bound	Count	Width
9	2	0.24
9.24	0	0.240001
9.48	0	0.24
9.72	0	0.24
9.96	8	0.24
10.2	0	0.240001
10.44	0	0.24
10.68	0	0.24
10.92	47	0.24
11.16	0	0.240001
11.4	0	0.24
11.64	0	0.24
11.88	379	0.24
12.12	0	0.240001
12.36	0	0.24
12.6	0	0.24
12.84	1853	0.24
13.08	0	0.240001
13.32	0	0.24
13.56	0	0.24
13.8	5383	0.24
14.04	0	0.240001
14.28	0	0.24
14.52	0	0.24
14.76	0	0.240001
15	10452	0.24
15.24	0	0.24
15.48	0	0.24
15.72	0	0.240001
15.96	10347	0.239999
16.2	0	0.240002
16.44	0	0.24
16.68	0	0.24
16.92	4694	0.24
17.16	0	0.24
17.4	0	0.24
17.64	0	0.24
17.88	893	0.24
18.12	0	0.240002
18.36	0	0.24
18.6	0	0.24
18.84	123	0.24
19.08	0	0.24
19.32	0	0.24
19.56	0	0.24
19.8	18	0.24
20.04	0	0.240002
20.28	0	0.24
20.52	0	0.24
20.76	0	0.24

